Time,InNum,OutNum,Station
2023-04-16 00:00:00,33,51,B
2023-04-16 00:15:00,184,164,B
2023-04-16 00:30:00,152,158,B
2023-04-16 00:45:00,291,278,B
2023-04-16 01:00:00,310,290,B
2023-04-16 01:15:00,361,344,B
2023-04-16 01:30:00,289,263,B
2023-04-16 01:45:00,414,393,B
2023-04-16 02:00:00,422,402,B
2023-04-16 02:15:00,401,388,B
2023-04-16 02:30:00,462,446,B
2023-04-16 02:45:00,454,436,B
2023-04-16 03:00:00,540,533,B
2023-04-16 03:15:00,584,575,B
2023-04-16 03:30:00,583,560,B
2023-04-16 03:45:00,539,514,B
2023-04-16 04:00:00,636,622,B
2023-04-16 04:15:00,533,515,B
2023-04-16 04:30:00,471,461,B
2023-04-16 04:45:00,400,377,B
2023-04-16 05:00:00,383,371,B
2023-04-16 05:15:00,400,388,B
2023-04-16 05:30:00,493,472,B
2023-04-16 05:45:00,445,406,B
2023-04-16 06:00:00,463,428,B
2023-04-16 06:15:00,569,507,B
2023-04-16 06:30:00,531,491,B
2023-04-16 06:45:00,677,579,B
2023-04-16 07:00:00,540,463,B
2023-04-16 07:15:00,408,317,B
2023-04-16 07:30:00,526,408,B
2023-04-16 07:45:00,432,338,B
2023-04-16 08:00:00,351,221,B
2023-04-16 08:15:00,342,259,B
2023-04-16 08:30:00,452,373,B
2023-04-16 08:45:00,294,203,B
2023-04-16 09:00:00,380,290,B
2023-04-16 09:15:00,371,295,B
2023-04-16 09:30:00,389,313,B
2023-04-16 09:45:00,464,383,B
2023-04-16 10:00:00,525,430,B
2023-04-16 10:15:00,577,521,B
2023-04-16 10:30:00,458,371,B
2023-04-16 10:45:00,573,507,B
2023-04-16 11:00:00,554,485,B
2023-04-16 11:15:00,457,381,B
2023-04-16 11:30:00,521,469,B
2023-04-16 11:45:00,439,368,B
2023-04-16 12:00:00,448,384,B
2023-04-16 12:15:00,461,437,B
2023-04-16 12:30:00,555,482,B
2023-04-16 12:45:00,583,564,B
2023-04-16 13:00:00,553,497,B
2023-04-16 13:15:00,625,594,B
2023-04-16 13:30:00,579,557,B
2023-04-16 13:45:00,709,668,B
2023-04-16 14:00:00,676,681,B
2023-04-16 14:15:00,509,461,B
2023-04-16 14:30:00,556,563,B
2023-04-16 14:45:00,528,498,B
2023-04-16 15:00:00,431,405,B
2023-04-16 15:15:00,310,319,B
2023-04-16 15:30:00,303,270,B
2023-04-16 15:45:00,316,356,B
2023-04-16 16:00:00,336,329,B
2023-04-16 16:15:00,372,398,B
2023-04-16 16:30:00,414,474,B
2023-04-16 16:45:00,372,380,B
2023-04-16 17:00:00,417,495,B
2023-04-16 17:15:00,456,423,B
2023-04-16 17:30:00,481,530,B
2023-04-16 17:45:00,560,579,B
2023-04-16 18:00:00,486,475,B
2023-04-16 18:15:00,391,446,B
2023-04-16 18:30:00,610,627,B
2023-04-16 18:45:00,485,567,B
2023-04-16 19:00:00,454,515,B
2023-04-16 19:15:00,447,527,B
2023-04-16 19:30:00,444,536,B
2023-04-16 19:45:00,402,429,B
2023-04-16 20:00:00,386,497,B
2023-04-16 20:15:00,312,381,B
2023-04-16 20:30:00,354,407,B
2023-04-16 20:45:00,321,444,B
2023-04-16 21:00:00,389,445,B
2023-04-16 21:15:00,419,525,B
2023-04-16 21:30:00,565,666,B
2023-04-16 21:45:00,549,640,B
2023-04-16 22:00:00,518,654,B
2023-04-16 22:15:00,598,674,B
2023-04-16 22:30:00,524,607,B
2023-04-16 22:45:00,531,676,B
2023-04-16 23:00:00,475,553,B
2023-04-16 23:15:00,454,534,B
2023-04-16 23:30:00,438,474,B
2023-04-16 23:45:00,383,409,B
