Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,C
2023-04-16 00:15:00,30,3,C
2023-04-16 00:30:00,0,0,C
2023-04-16 00:45:00,23,11,C
2023-04-16 01:00:00,65,49,C
2023-04-16 01:15:00,201,162,C
2023-04-16 01:30:00,194,161,C
2023-04-16 01:45:00,246,196,C
2023-04-16 02:00:00,237,199,C
2023-04-16 02:15:00,170,141,C
2023-04-16 02:30:00,223,185,C
2023-04-16 02:45:00,134,107,C
2023-04-16 03:00:00,132,109,C
2023-04-16 03:15:00,73,64,C
2023-04-16 03:30:00,58,46,C
2023-04-16 03:45:00,36,32,C
2023-04-16 04:00:00,11,5,C
2023-04-16 04:15:00,110,95,C
2023-04-16 04:30:00,118,99,C
2023-04-16 04:45:00,218,184,C
2023-04-16 05:00:00,252,208,C
2023-04-16 05:15:00,278,232,C
2023-04-16 05:30:00,321,268,C
2023-04-16 05:45:00,287,239,C
2023-04-16 06:00:00,257,216,C
2023-04-16 06:15:00,276,213,C
2023-04-16 06:30:00,338,275,C
2023-04-16 06:45:00,369,299,C
2023-04-16 07:00:00,280,218,C
2023-04-16 07:15:00,358,304,C
2023-04-16 07:30:00,354,265,C
2023-04-16 07:45:00,386,293,C
2023-04-16 08:00:00,373,280,C
2023-04-16 08:15:00,279,239,C
2023-04-16 08:30:00,345,361,C
2023-04-16 08:45:00,344,319,C
2023-04-16 09:00:00,318,300,C
2023-04-16 09:15:00,389,392,C
2023-04-16 09:30:00,426,471,C
2023-04-16 09:45:00,255,301,C
2023-04-16 10:00:00,339,319,C
2023-04-16 10:15:00,286,261,C
2023-04-16 10:30:00,309,265,C
2023-04-16 10:45:00,300,263,C
2023-04-16 11:00:00,288,252,C
2023-04-16 11:15:00,308,283,C
2023-04-16 11:30:00,320,299,C
2023-04-16 11:45:00,348,296,C
2023-04-16 12:00:00,385,318,C
2023-04-16 12:15:00,331,272,C
2023-04-16 12:30:00,435,371,C
2023-04-16 12:45:00,396,337,C
2023-04-16 13:00:00,397,332,C
2023-04-16 13:15:00,339,274,C
2023-04-16 13:30:00,372,314,C
2023-04-16 13:45:00,324,265,C
2023-04-16 14:00:00,388,322,C
2023-04-16 14:15:00,392,325,C
2023-04-16 14:30:00,353,298,C
2023-04-16 14:45:00,354,322,C
2023-04-16 15:00:00,407,354,C
2023-04-16 15:15:00,425,360,C
2023-04-16 15:30:00,384,314,C
2023-04-16 15:45:00,547,468,C
2023-04-16 16:00:00,464,402,C
2023-04-16 16:15:00,544,460,C
2023-04-16 16:30:00,522,443,C
2023-04-16 16:45:00,634,550,C
2023-04-16 17:00:00,701,602,C
2023-04-16 17:15:00,671,587,C
2023-04-16 17:30:00,652,573,C
2023-04-16 17:45:00,614,539,C
2023-04-16 18:00:00,672,555,C
2023-04-16 18:15:00,709,566,C
2023-04-16 18:30:00,678,571,C
2023-04-16 18:45:00,533,447,C
2023-04-16 19:00:00,508,433,C
2023-04-16 19:15:00,439,362,C
2023-04-16 19:30:00,434,379,C
2023-04-16 19:45:00,388,366,C
2023-04-16 20:00:00,414,376,C
2023-04-16 20:15:00,467,415,C
2023-04-16 20:30:00,432,362,C
2023-04-16 20:45:00,384,325,C
2023-04-16 21:00:00,437,369,C
2023-04-16 21:15:00,357,300,C
2023-04-16 21:30:00,399,344,C
2023-04-16 21:45:00,290,239,C
2023-04-16 22:00:00,280,256,C
2023-04-16 22:15:00,193,196,C
2023-04-16 22:30:00,266,269,C
2023-04-16 22:45:00,117,133,C
2023-04-16 23:00:00,152,173,C
2023-04-16 23:15:00,146,171,C
2023-04-16 23:30:00,71,82,C
2023-04-16 23:45:00,99,87,C
