Time,InNum,OutNum,Station
2023-04-16 00:00:00,82,0,D
2023-04-16 00:15:00,83,3,D
2023-04-16 00:30:00,159,74,D
2023-04-16 00:45:00,150,63,D
2023-04-16 01:00:00,151,75,D
2023-04-16 01:15:00,155,70,D
2023-04-16 01:30:00,204,119,D
2023-04-16 01:45:00,206,124,D
2023-04-16 02:00:00,286,204,D
2023-04-16 02:15:00,289,206,D
2023-04-16 02:30:00,306,219,D
2023-04-16 02:45:00,320,235,D
2023-04-16 03:00:00,280,193,D
2023-04-16 03:15:00,247,165,D
2023-04-16 03:30:00,267,182,D
2023-04-16 03:45:00,211,129,D
2023-04-16 04:00:00,137,54,D
2023-04-16 04:15:00,158,72,D
2023-04-16 04:30:00,148,65,D
2023-04-16 04:45:00,139,58,D
2023-04-16 05:00:00,158,82,D
2023-04-16 05:15:00,174,92,D
2023-04-16 05:30:00,150,72,D
2023-04-16 05:45:00,184,102,D
2023-04-16 06:00:00,176,83,D
2023-04-16 06:15:00,149,56,D
2023-04-16 06:30:00,230,117,D
2023-04-16 06:45:00,244,134,D
2023-04-16 07:00:00,231,110,D
2023-04-16 07:15:00,232,113,D
2023-04-16 07:30:00,309,185,D
2023-04-16 07:45:00,327,172,D
2023-04-16 08:00:00,285,124,D
2023-04-16 08:15:00,328,160,D
2023-04-16 08:30:00,285,157,D
2023-04-16 08:45:00,321,174,D
2023-04-16 09:00:00,316,187,D
2023-04-16 09:15:00,310,192,D
2023-04-16 09:30:00,335,218,D
2023-04-16 09:45:00,298,172,D
2023-04-16 10:00:00,295,172,D
2023-04-16 10:15:00,255,145,D
2023-04-16 10:30:00,245,131,D
2023-04-16 10:45:00,237,133,D
2023-04-16 11:00:00,277,190,D
2023-04-16 11:15:00,311,200,D
2023-04-16 11:30:00,289,197,D
2023-04-16 11:45:00,326,234,D
2023-04-16 12:00:00,338,241,D
2023-04-16 12:15:00,359,266,D
2023-04-16 12:30:00,397,315,D
2023-04-16 12:45:00,315,236,D
2023-04-16 13:00:00,393,299,D
2023-04-16 13:15:00,379,276,D
2023-04-16 13:30:00,401,288,D
2023-04-16 13:45:00,364,270,D
2023-04-16 14:00:00,409,286,D
2023-04-16 14:15:00,333,235,D
2023-04-16 14:30:00,297,196,D
2023-04-16 14:45:00,247,163,D
2023-04-16 15:00:00,202,117,D
2023-04-16 15:15:00,207,115,D
2023-04-16 15:30:00,155,82,D
2023-04-16 15:45:00,163,87,D
2023-04-16 16:00:00,151,91,D
2023-04-16 16:15:00,163,85,D
2023-04-16 16:30:00,172,82,D
2023-04-16 16:45:00,230,128,D
2023-04-16 17:00:00,203,112,D
2023-04-16 17:15:00,241,155,D
2023-04-16 17:30:00,192,135,D
2023-04-16 17:45:00,248,179,D
2023-04-16 18:00:00,284,238,D
2023-04-16 18:15:00,287,220,D
2023-04-16 18:30:00,296,243,D
2023-04-16 18:45:00,290,250,D
2023-04-16 19:00:00,300,265,D
2023-04-16 19:15:00,352,304,D
2023-04-16 19:30:00,319,274,D
2023-04-16 19:45:00,265,236,D
2023-04-16 20:00:00,282,252,D
2023-04-16 20:15:00,267,235,D
2023-04-16 20:30:00,266,243,D
2023-04-16 20:45:00,210,181,D
2023-04-16 21:00:00,215,205,D
2023-04-16 21:15:00,257,229,D
2023-04-16 21:30:00,190,208,D
2023-04-16 21:45:00,321,313,D
2023-04-16 22:00:00,324,336,D
2023-04-16 22:15:00,284,263,D
2023-04-16 22:30:00,320,320,D
2023-04-16 22:45:00,268,239,D
2023-04-16 23:00:00,284,233,D
2023-04-16 23:15:00,281,222,D
2023-04-16 23:30:00,313,236,D
2023-04-16 23:45:00,301,221,D
