Time,InNum,OutNum,Station
2023-04-16 00:00:00,20,31,E
2023-04-16 00:15:00,13,19,E
2023-04-16 00:30:00,4,12,E
2023-04-16 00:45:00,79,85,E
2023-04-16 01:00:00,105,103,E
2023-04-16 01:15:00,97,106,E
2023-04-16 01:30:00,98,93,E
2023-04-16 01:45:00,39,45,E
2023-04-16 02:00:00,24,17,E
2023-04-16 02:15:00,20,16,E
2023-04-16 02:30:00,0,0,E
2023-04-16 02:45:00,36,32,E
2023-04-16 03:00:00,12,15,E
2023-04-16 03:15:00,22,25,E
2023-04-16 03:30:00,17,12,E
2023-04-16 03:45:00,29,26,E
2023-04-16 04:00:00,36,31,E
2023-04-16 04:15:00,30,19,E
2023-04-16 04:30:00,71,63,E
2023-04-16 04:45:00,29,24,E
2023-04-16 05:00:00,48,36,E
2023-04-16 05:15:00,61,58,E
2023-04-16 05:30:00,0,0,E
2023-04-16 05:45:00,29,22,E
2023-04-16 06:00:00,17,0,E
2023-04-16 06:15:00,32,2,E
2023-04-16 06:30:00,9,0,E
2023-04-16 06:45:00,62,25,E
2023-04-16 07:00:00,81,44,E
2023-04-16 07:15:00,104,66,E
2023-04-16 07:30:00,96,74,E
2023-04-16 07:45:00,95,52,E
2023-04-16 08:00:00,107,73,E
2023-04-16 08:15:00,165,116,E
2023-04-16 08:30:00,223,230,E
2023-04-16 08:45:00,197,256,E
2023-04-16 09:00:00,165,178,E
2023-04-16 09:15:00,169,163,E
2023-04-16 09:30:00,199,176,E
2023-04-16 09:45:00,146,150,E
2023-04-16 10:00:00,132,125,E
2023-04-16 10:15:00,136,119,E
2023-04-16 10:30:00,192,158,E
2023-04-16 10:45:00,259,233,E
2023-04-16 11:00:00,249,224,E
2023-04-16 11:15:00,281,257,E
2023-04-16 11:30:00,253,222,E
2023-04-16 11:45:00,193,160,E
2023-04-16 12:00:00,200,154,E
2023-04-16 12:15:00,232,212,E
2023-04-16 12:30:00,226,198,E
2023-04-16 12:45:00,175,181,E
2023-04-16 13:00:00,218,204,E
2023-04-16 13:15:00,217,188,E
2023-04-16 13:30:00,190,163,E
2023-04-16 13:45:00,218,202,E
2023-04-16 14:00:00,274,262,E
2023-04-16 14:15:00,174,202,E
2023-04-16 14:30:00,239,236,E
2023-04-16 14:45:00,194,228,E
2023-04-16 15:00:00,235,235,E
2023-04-16 15:15:00,235,228,E
2023-04-16 15:30:00,198,189,E
2023-04-16 15:45:00,156,145,E
2023-04-16 16:00:00,182,173,E
2023-04-16 16:15:00,214,165,E
2023-04-16 16:30:00,181,128,E
2023-04-16 16:45:00,175,124,E
2023-04-16 17:00:00,206,156,E
2023-04-16 17:15:00,204,167,E
2023-04-16 17:30:00,167,138,E
2023-04-16 17:45:00,203,167,E
2023-04-16 18:00:00,240,163,E
2023-04-16 18:15:00,285,247,E
2023-04-16 18:30:00,276,259,E
2023-04-16 18:45:00,269,254,E
2023-04-16 19:00:00,231,230,E
2023-04-16 19:15:00,212,201,E
2023-04-16 19:30:00,202,233,E
2023-04-16 19:45:00,114,128,E
2023-04-16 20:00:00,175,192,E
2023-04-16 20:15:00,143,145,E
2023-04-16 20:30:00,178,192,E
2023-04-16 20:45:00,119,117,E
2023-04-16 21:00:00,191,196,E
2023-04-16 21:15:00,243,240,E
2023-04-16 21:30:00,224,233,E
2023-04-16 21:45:00,206,236,E
2023-04-16 22:00:00,141,149,E
2023-04-16 22:15:00,188,221,E
2023-04-16 22:30:00,113,144,E
2023-04-16 22:45:00,93,129,E
2023-04-16 23:00:00,50,82,E
2023-04-16 23:15:00,55,65,E
2023-04-16 23:30:00,61,61,E
2023-04-16 23:45:00,91,90,E
