Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,G
2023-04-16 00:15:00,0,0,G
2023-04-16 00:30:00,0,0,G
2023-04-16 00:45:00,0,0,G
2023-04-16 01:00:00,0,0,G
2023-04-16 01:15:00,0,0,G
2023-04-16 01:30:00,0,0,G
2023-04-16 01:45:00,0,0,G
2023-04-16 02:00:00,25,117,G
2023-04-16 02:15:00,244,347,G
2023-04-16 02:30:00,275,381,G
2023-04-16 02:45:00,605,727,G
2023-04-16 03:00:00,584,710,G
2023-04-16 03:15:00,687,819,G
2023-04-16 03:30:00,500,621,G
2023-04-16 03:45:00,663,776,G
2023-04-16 04:00:00,630,745,G
2023-04-16 04:15:00,914,1036,G
2023-04-16 04:30:00,1059,1191,G
2023-04-16 04:45:00,1167,1302,G
2023-04-16 05:00:00,1587,1733,G
2023-04-16 05:15:00,1288,1428,G
2023-04-16 05:30:00,1467,1618,G
2023-04-16 05:45:00,1085,1226,G
2023-04-16 06:00:00,1100,1243,G
2023-04-16 06:15:00,958,1093,G
2023-04-16 06:30:00,1193,1341,G
2023-04-16 06:45:00,812,960,G
2023-04-16 07:00:00,770,917,G
2023-04-16 07:15:00,811,974,G
2023-04-16 07:30:00,515,668,G
2023-04-16 07:45:00,601,748,G
2023-04-16 08:00:00,943,1216,G
2023-04-16 08:15:00,1013,1277,G
2023-04-16 08:30:00,1042,1332,G
2023-04-16 08:45:00,1091,1430,G
2023-04-16 09:00:00,1226,1505,G
2023-04-16 09:15:00,1219,1517,G
2023-04-16 09:30:00,1286,1517,G
2023-04-16 09:45:00,982,1256,G
2023-04-16 10:00:00,895,1112,G
2023-04-16 10:15:00,991,1174,G
2023-04-16 10:30:00,734,929,G
2023-04-16 10:45:00,729,873,G
2023-04-16 11:00:00,638,842,G
2023-04-16 11:15:00,629,822,G
2023-04-16 11:30:00,585,762,G
2023-04-16 11:45:00,494,689,G
2023-04-16 12:00:00,575,720,G
2023-04-16 12:15:00,693,876,G
2023-04-16 12:30:00,1219,1389,G
2023-04-16 12:45:00,1302,1469,G
2023-04-16 13:00:00,1498,1663,G
2023-04-16 13:15:00,1529,1665,G
2023-04-16 13:30:00,1575,1766,G
2023-04-16 13:45:00,1494,1654,G
2023-04-16 14:00:00,1728,1936,G
2023-04-16 14:15:00,1676,1865,G
2023-04-16 14:30:00,1547,1728,G
2023-04-16 14:45:00,1364,1545,G
2023-04-16 15:00:00,1228,1402,G
2023-04-16 15:15:00,1225,1428,G
2023-04-16 15:30:00,1198,1358,G
2023-04-16 15:45:00,1363,1547,G
2023-04-16 16:00:00,1102,1235,G
2023-04-16 16:15:00,1051,1161,G
2023-04-16 16:30:00,907,1036,G
2023-04-16 16:45:00,627,734,G
2023-04-16 17:00:00,622,696,G
2023-04-16 17:15:00,534,609,G
2023-04-16 17:30:00,589,671,G
2023-04-16 17:45:00,579,604,G
2023-04-16 18:00:00,567,618,G
2023-04-16 18:15:00,460,509,G
2023-04-16 18:30:00,660,720,G
2023-04-16 18:45:00,644,712,G
2023-04-16 19:00:00,732,796,G
2023-04-16 19:15:00,815,869,G
2023-04-16 19:30:00,680,746,G
2023-04-16 19:45:00,600,619,G
2023-04-16 20:00:00,715,732,G
2023-04-16 20:15:00,657,672,G
2023-04-16 20:30:00,695,690,G
2023-04-16 20:45:00,920,921,G
2023-04-16 21:00:00,698,715,G
2023-04-16 21:15:00,884,876,G
2023-04-16 21:30:00,640,641,G
2023-04-16 21:45:00,898,882,G
2023-04-16 22:00:00,731,724,G
2023-04-16 22:15:00,745,714,G
2023-04-16 22:30:00,773,798,G
2023-04-16 22:45:00,666,687,G
2023-04-16 23:00:00,814,875,G
2023-04-16 23:15:00,682,784,G
2023-04-16 23:30:00,814,922,G
2023-04-16 23:45:00,1005,1128,G
